_id,state_id,division_id,parliament_id,assembly_id,party_id,year_id,candidate_id,total_electors,total_votes,margin,margin_percentage,created_by,assembly_no,poll_percentage,type
68bac639ff370da694e2635c,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206589,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270339,167947,117199,39896,0.34,684ab4dce856ee7729dde255,21,0.698,SC
68bac639ff370da694e2635d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb206589,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895a419e35251fb743239d2,160266,97054,7651,0.079,684ab4dce856ee7729dde255,21,0.606,SC
68bac639ff370da694e26360,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20658a,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702ec,189130,145285,2656,0.018,684ab4dce856ee7729dde255,22,0.768,GEN
68bac639ff370da694e26361,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db42,68876e3f6382aed3fb20658a,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895a419e35251fb743239e2,171174,125352,11697,0.093,684ab4dce856ee7729dde255,22,0.732,GEN
68bac639ff370da694e26364,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb20658b,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702fd,239641,171602,14824,0.086,684ab4dce856ee7729dde255,23,0.716,SC
68bac639ff370da694e26365,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb20658b,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895b201e35251fb74323c21,229576,161534,10320,0.064,684ab4dce856ee7729dde255,23,0.704,SC
68bac639ff370da694e26368,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb20658c,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270358,218908,163238,7918,0.049,684ab4dce856ee7729dde255,24,0.746,GEN
68bac639ff370da694e26369,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb20658c,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895a419e35251fb74323a42,211755,151707,3625,0.024,684ab4dce856ee7729dde255,24,0.716,GEN
68bac639ff370da694e2636c,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658d,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a167270365,240528,162183,28748,0.177,684ab4dce856ee7729dde255,25,0.674,GEN
68bac639ff370da694e2636d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658d,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c22,223951,149500,11145,0.075,684ab4dce856ee7729dde255,25,0.668,GEN
